frame,num_objects,detector_latency_ms,reid_latency_ms
0,1,220.17145,37.22572
1,1,111.24468,25.19894
2,2,125.00405,37.95433
3,2,155.74694,33.21123
4,4,220.14594,42.00768
5,3,150.63047,40.80439
6,4,131.54101,35.14314
7,4,118.00957,34.88207
8,4,126.40262,35.06613
9,4,124.52698,37.61935
10,4,116.88399,35.20918
11,5,114.86197,40.72261
12,6,116.79626,45.39824
13,5,143.88871,36.75199
14,5,112.6523,36.91101
15,5,116.88852,36.85832
16,6,119.26913,36.79132
17,5,161.76963,40.766
18,3,158.70619,34.0054
19,3,117.82527,34.81078
20,4,118.32929,35.07829
21,5,110.60023,35.59923
22,5,119.09628,36.67498
23,4,112.54025,35.31194
24,3,121.33384,33.87427
25,4,117.78283,36.07488
26,4,112.53405,35.48837
27,4,124.07184,37.83417
28,4,123.69704,35.12454
29,4,118.50905,36.35383
30,4,125.93555,36.49473
31,4,124.49551,36.1793
32,4,160.02226,36.87358
33,4,158.70214,36.56745
34,5,156.82292,38.08761
35,4,114.35127,35.37297
36,4,119.76838,34.98888
37,3,116.60314,34.0395
38,3,120.7962,34.25694
39,3,128.97682,34.39641
40,3,125.72956,34.4193
41,3,124.82357,34.06167
42,3,119.59147,34.52587
43,3,121.0351,34.06882
44,4,118.50286,35.43973
45,4,120.48459,35.24899
46,4,114.41636,36.7043
47,4,123.98481,35.85505
48,4,127.47645,35.98118
49,4,121.34147,36.61251
50,4,129.15587,36.10539
51,4,128.22008,35.80928
52,4,155.11918,35.51936
53,4,120.61858,35.39228
54,4,122.52188,35.4743
55,3,115.54408,34.18922
56,3,115.30662,34.40881
57,3,129.67277,34.71804
58,3,121.20461,34.77407
59,3,128.40223,35.54153
60,3,149.48225,35.04109
61,3,118.22939,35.20131
62,4,121.11521,36.51738
63,3,155.22861,34.51562
64,3,114.38251,34.62124
65,3,115.62872,34.82652
66,3,116.75024,35.28404
67,3,125.1719,34.30247
68,3,115.3698,34.45268
69,4,124.24135,36.09371
70,4,117.14172,36.41987
71,4,113.48009,35.10118
72,4,111.50217,35.15959
73,4,111.6066,36.12518
74,4,121.56653,35.37369
75,4,176.11504,36.02743
76,5,153.52726,36.2103
77,3,121.38772,39.22272
78,5,124.5997,36.6838
79,5,120.84055,36.76391
80,5,123.58451,36.85832
81,5,116.57405,37.19592
82,4,113.37471,35.49838
83,5,141.83378,37.3795
84,4,131.46091,35.81762
85,5,129.04048,36.80253
86,5,117.9049,36.29327
87,4,121.44971,35.75253
88,5,126.31512,36.4151
89,5,116.16397,37.02331
90,4,119.03763,35.30478
91,4,121.69647,35.22062
92,4,120.08023,35.26783
93,4,152.70853,39.4783
94,4,137.57277,35.47931
95,4,115.06867,35.65192
96,4,126.01662,35.31766
97,4,120.46146,35.15196
98,4,116.68086,35.79688
99,5,120.78285,36.02839
100,5,113.60955,36.79776
101,5,122.67423,36.03101
102,6,117.9142,37.04691
103,4,117.19322,35.13598
