frame,num_objects,detector_latency_ms,reid_latency_ms
0,2,282.37629,47.33324
1,2,148.53668,30.75004
2,3,148.78249,40.57336
3,4,136.67011,41.5132
4,4,241.6203,36.33022
5,5,151.03769,38.40446
6,5,156.497,33.52618
7,5,144.30428,33.6206
8,5,157.76229,33.95224
9,5,163.81001,33.94961
10,5,147.37058,32.78494
11,6,140.0497,40.17448
12,6,202.61407,34.52921
13,5,160.04705,33.80418
14,6,196.9955,36.47876
15,6,176.63145,33.73027
16,6,153.03802,34.04236
17,6,170.07494,33.82683
18,4,158.3004,32.57632
19,4,148.02456,33.19669
20,5,145.37239,33.67043
21,5,152.1461,34.55877
22,5,198.18974,34.93023
23,3,182.98626,33.04505
24,5,143.72301,33.42652
25,5,147.27211,33.27608
26,5,159.57332,34.1258
27,5,198.10796,34.64675
28,5,195.65368,37.04786
29,5,194.41223,34.9586
30,5,195.81771,34.94072
31,5,197.22176,35.20799
32,5,195.20879,34.23595
33,5,195.7128,37.75644
34,5,144.44733,33.6709
35,5,144.9821,36.72576
36,5,150.5127,33.86641
37,5,146.25812,34.88135
38,4,144.33026,34.33442
39,3,148.77796,32.38511
40,3,140.36465,32.15122
41,3,149.76573,32.36246
42,3,162.8983,32.33552
43,3,156.14343,33.31041
44,5,149.12534,35.00295
45,4,148.40364,33.38194
46,4,159.77907,34.31177
47,4,145.45131,34.20091
48,4,154.8562,33.72288
49,4,151.52264,33.5238
50,4,154.40941,33.30421
51,4,151.54624,33.82468
52,4,144.60611,33.35714
53,4,151.1724,37.81748
54,4,141.6409,33.93865
55,3,147.59254,32.3925
56,4,194.73529,33.87332
57,4,147.94374,33.41794
58,4,152.10366,34.08861
59,4,160.06207,33.69689
60,3,145.60056,33.12159
61,3,138.47399,31.98981
62,3,144.74964,31.87227
63,4,151.91126,33.28013
64,4,146.19827,33.17142
65,5,144.099,34.15656
66,4,199.84102,35.01916
67,4,150.28572,33.0925
68,4,149.76239,33.61177
69,5,147.06898,34.57999
70,3,149.68538,32.11904
71,4,150.97308,33.19907
72,4,147.39323,34.02567
73,4,141.50667,33.50663
74,3,148.01073,33.80394
75,4,150.97952,34.02686
76,4,153.6715,33.92601
77,5,142.68494,35.2993
78,4,142.8473,34.24096
79,6,206.12121,39.82544
80,6,150.00653,35.15053
81,6,150.419,35.23588
82,6,146.01684,35.16269
83,6,198.33326,36.80372
84,6,180.11355,36.29971
85,7,142.04645,40.58337
86,6,256.64759,35.35509
87,5,144.49024,34.61766
88,6,155.66301,36.16834
