frame,num_objects,detector_latency_ms,reid_latency_ms
0,0,68.53271,0.00834
1,0,26.93582,0.00787
2,1,23.46087,36.27992
3,1,28.02992,26.26371
4,1,22.80164,25.10381
5,1,23.37337,24.6861
6,2,23.52142,32.54509
7,1,93.05573,24.90354
8,1,26.22056,24.84679
9,1,27.3087,26.01695
10,2,23.94676,32.73559
11,3,22.80641,33.90837
12,3,28.20706,37.26745
13,2,26.99542,36.06272
14,2,25.94447,33.12016
15,1,23.43297,24.89233
16,1,28.59068,27.09246
17,2,26.86572,32.41014
18,2,23.5889,32.44591
19,2,22.90893,32.46546
20,1,23.62776,24.66059
21,1,23.49138,24.65153
22,1,26.1445,24.71399
23,1,23.49973,24.575
24,0,22.76659,0.00811
25,0,22.96567,0.00739
26,1,22.3875,24.81771
27,1,24.12319,24.75691
28,1,22.8343,31.03971
29,1,22.81451,24.70469
30,1,22.82429,24.65248
31,0,22.44473,0.00787
32,1,22.47167,24.61791
33,1,23.23961,24.8816
34,1,22.70341,24.82677
35,1,25.0895,25.78282
36,1,22.04442,24.66846
37,0,24.56021,0.00811
38,1,23.33379,29.08182
39,1,25.0361,25.49624
40,1,23.19527,25.31719
41,1,22.61734,25.40183
42,1,23.89264,25.39992
43,1,22.62521,25.26498
44,2,24.69158,32.90057
45,1,23.11468,26.42393
46,2,23.01264,33.47945
47,0,24.17636,0.00739
48,0,23.57101,0.00715
49,0,22.61829,0.00763
50,1,23.31257,27.90093
51,1,23.64159,25.46096
52,2,22.81523,33.38933
53,1,24.74642,25.16437
54,1,23.01908,25.44165
55,1,25.4755,25.37012
56,1,23.12207,26.0272
57,1,24.08624,24.71328
58,1,22.69244,24.49322
59,1,23.46945,24.9033
60,1,24.30058,25.86055
61,1,23.103,25.7535
62,1,25.79784,24.53256
63,1,22.70865,24.65844
64,1,23.6845,24.59812
65,1,25.13623,25.20466
66,0,24.086,0.00787
67,0,22.88461,0.00739
68,0,26.51596,0.00787
69,0,23.89288,0.00858
70,0,24.03522,0.00739
71,0,23.39816,0.00715
72,0,24.91283,0.00787
73,0,23.79274,0.00763
74,1,24.13774,24.78981
75,0,23.55695,0.00834
76,1,23.47326,25.06614
77,0,23.31543,0.00787
78,1,22.17793,28.48125
79,3,22.45855,33.89907
80,4,23.39315,35.65288
81,4,23.65851,34.70683
82,4,28.75543,39.14738
83,4,28.83816,39.36863
84,4,28.89013,39.28018
85,4,29.05321,39.10017
86,4,29.15716,38.27524
87,3,28.93591,38.26261
88,4,29.09732,39.28638
89,4,29.52337,39.2797
90,4,29.36554,38.94305
91,3,29.02007,37.94551
92,3,29.12855,38.1248
93,2,29.01125,35.84862
94,3,28.79667,38.23137
95,2,29.71983,36.36074
96,2,28.99241,36.38029
97,1,29.11901,27.61292
98,2,28.81932,36.13138
99,1,28.82314,27.2963
100,2,28.64408,36.21554
101,2,28.96762,36.29661
102,1,29.37436,27.34017
103,4,30.26581,40.3645
104,4,24.26887,35.92253
105,4,23.78941,36.84235
106,4,25.13671,36.08131
107,4,27.79007,39.66928
108,3,28.66912,37.93836
109,4,28.77164,39.26373
110,4,23.13209,34.50799
111,2,26.46112,32.90391
112,2,23.561,33.41889
113,3,24.05405,34.43933
114,1,23.47493,24.29914
115,1,25.06781,24.58405
116,1,24.35064,27.5352
117,0,24.61004,0.00811
118,0,25.21944,0.00715
119,1,23.62895,24.67012
120,1,22.28737,25.0392
121,1,24.50061,28.5182
122,0,24.78337,0.00763
123,0,23.14568,0.00739
124,0,24.91188,0.00691
125,0,22.73965,0.00739
126,2,23.84806,32.03559
127,2,24.48726,33.33783
128,2,25.94304,32.42517
129,2,26.03579,32.14407
130,1,24.61338,28.14794
131,2,28.49245,36.18002
132,2,27.01807,32.62424
133,3,24.2908,34.0457
134,3,23.18215,34.65748
135,2,23.99158,32.59706
136,2,25.21157,33.3128
137,0,23.27871,0.00763
138,0,24.66369,0.0093
139,0,22.88365,0.00739
140,0,23.6156,0.00763
141,0,23.52118,0.00763
142,1,24.77336,25.26236
143,0,23.25058,0.00763
144,0,24.33944,0.00739
145,0,24.4863,0.00787
146,0,24.33276,0.00763
147,1,24.28174,24.79482
148,2,23.36073,33.10871
149,2,24.25861,32.93276
150,1,26.13187,24.75953
151,2,24.06454,32.52625
152,0,25.31004,0.00715
153,0,24.13774,0.00715
154,0,22.8498,0.00739
155,0,24.21951,0.00691
156,1,22.53962,25.36893
157,2,24.10007,33.10204
158,1,24.95694,25.59114
159,1,26.53313,25.11668
160,2,23.78821,32.85098
161,2,23.02361,32.65452
162,2,23.28563,34.80983
163,3,23.38052,34.32846
164,2,25.02489,33.35309
165,1,23.38624,25.05803
166,3,23.23437,37.69875
167,2,24.7252,32.75442
168,2,25.20967,32.8207
169,1,23.30995,24.72639
170,1,23.50068,24.54162
171,1,24.44434,25.09046
172,1,22.97354,24.61648
173,1,22.52483,24.65177
174,1,23.3357,24.53685
175,1,26.1364,25.0411
176,1,24.80173,24.84822
177,0,22.86005,0.00763
178,1,22.83144,24.62173
179,0,22.67456,0.00858
180,1,25.72465,24.63818
181,1,23.54193,24.5595
182,0,24.55091,0.0093
183,1,22.88508,24.85299
184,0,23.42725,0.00763
185,0,22.70937,0.00739
186,0,22.83359,0.00739
187,0,23.80705,0.00763
188,0,24.20878,0.00763
189,0,24.11652,0.00787
190,0,22.82238,0.00739
191,1,25.2676,24.93501
192,0,26.438,0.00858
193,0,23.5033,0.00739
194,0,22.80068,0.00763
195,1,23.79179,24.66059
196,1,23.94629,24.81532
197,0,24.14656,0.00763
198,0,23.65756,0.00882
199,0,24.14179,0.00763
200,0,23.95558,0.00691
201,0,23.28134,0.00763
202,0,23.94342,0.00668
203,1,25.18606,24.80268
204,0,23.26083,0.00834
205,0,23.78988,0.00787
206,0,22.72534,0.00715
207,1,23.77963,29.47021
208,1,23.85378,24.62554
209,1,28.71013,27.82011
210,0,26.35479,0.00739
211,0,23.49877,0.00787
212,0,22.74108,0.00739
213,0,22.80116,0.00787
214,0,24.60504,0.00739
215,0,22.91036,0.00739
216,0,23.75746,0.00763
217,0,25.60902,0.00739
218,0,24.03212,0.00763
219,0,23.66042,0.00739
220,0,24.61481,0.00787
221,0,22.84169,0.00811
222,0,24.61386,0.00668
223,0,25.69175,0.00763
224,0,25.01535,0.00691
225,0,26.67189,0.00715
226,0,24.40548,0.00763
227,0,23.57888,0.00715
228,0,22.56727,0.00763
229,0,24.58525,0.00763
230,0,24.45006,0.00739
231,0,22.62616,0.00715
232,0,22.66669,0.00715
233,0,24.35303,0.00763
234,0,25.76566,0.00691
235,0,25.47741,0.00787
236,0,22.82619,0.00715
237,0,22.86792,0.00811
238,0,24.69444,0.00834
239,0,22.57562,0.00811
240,0,22.5513,0.00811
241,0,23.772,0.00763
242,0,22.64261,0.00763
243,0,24.4658,0.00763
244,0,22.05443,0.00715
245,0,22.6903,0.00739
246,0,22.92991,0.00715
247,0,22.56465,0.00739
248,0,24.75333,0.00668
249,0,22.39442,0.00763
250,0,22.64118,0.00739
251,0,22.13502,0.00715
252,0,23.59724,0.0093
253,0,22.98188,0.00715
254,0,28.19824,0.00858
255,0,27.99463,0.00858
256,0,27.52423,0.00691
257,0,27.11701,0.00763
258,0,22.16864,0.00691
259,0,23.12207,0.00763
260,0,23.25034,0.00787
261,0,23.46516,0.00787
262,0,23.16475,0.00739
263,0,24.83463,0.00739
264,0,22.83311,0.00715
265,0,24.95241,0.00739
266,0,22.39466,0.00763
267,0,22.72892,0.00715
268,0,22.2621,0.00834
269,0,23.06986,0.00763
270,0,23.84901,0.00739
271,0,23.04888,0.00763
272,0,23.78893,0.00715
273,0,22.85123,0.00739
