frame,num_objects,detector_latency_ms,reid_latency_ms
0,5,497.64419,45.97998
1,4,315.55533,33.82826
2,5,320.34516,32.20868
3,6,320.85896,38.06663
4,6,347.78619,37.22811
5,6,299.08895,32.36818
6,6,326.76768,38.06424
7,6,302.43373,32.00316
8,6,346.22097,36.67712
9,7,403.36943,39.047
10,7,361.02366,34.12366
11,6,297.80531,33.14686
12,6,308.41231,31.97789
13,7,322.42799,36.29136
14,7,296.19503,33.39243
15,7,366.59074,32.76753
16,7,350.43979,33.95867
17,6,286.53646,32.28736
18,5,300.7493,30.77674
19,5,302.32453,31.06689
20,5,304.59523,32.01962
21,6,294.57426,32.85861
22,6,317.62457,31.58188
23,6,327.32916,32.72104
24,6,370.80479,32.12619
25,6,286.22508,32.56369
26,6,317.53206,31.914
27,5,366.43744,31.98385
28,6,287.89425,31.76379
29,5,316.93172,32.21345
30,5,395.33544,32.50718
31,6,296.43297,33.05769
32,6,314.04066,32.86266
33,6,359.66063,35.28857
34,6,343.00089,33.14638
35,5,399.82963,32.71699
36,6,356.85682,37.91404
37,6,291.52751,33.46872
38,6,304.60119,33.65588
39,4,322.9363,31.92306
40,4,296.32711,31.34012
41,4,311.93924,32.52912
42,4,293.70189,32.2752
43,6,303.2887,33.27012
44,6,364.46071,33.31733
45,6,374.24612,33.31542
46,5,324.43094,32.70602
47,5,310.0307,32.27353
48,5,324.74256,32.52363
49,5,306.24247,31.78453
50,5,320.92404,32.17673
51,5,342.71312,32.12643
52,5,304.3294,33.17571
53,5,289.64829,33.84972
54,5,285.16436,32.76753
55,5,330.34897,32.9814
56,4,298.09213,31.47721
57,5,297.68348,32.27043
58,5,329.33164,32.15122
59,5,322.23725,33.04648
60,5,337.52942,32.33862
61,4,314.45885,34.09863
62,5,373.26384,34.41954
63,5,399.90449,34.69062
64,4,398.91243,31.76928
65,5,295.15743,32.35197
66,5,287.68325,32.87172
67,5,277.27294,32.65262
68,4,307.40499,31.80194
69,3,352.0906,33.83112
70,4,304.9829,30.95555
71,4,402.33874,32.26924
72,4,404.77729,31.34847
73,4,380.40161,31.39257
74,4,299.5944,31.02684
75,5,317.95669,33.33759
76,5,357.83648,32.21035
77,6,348.85168,34.77669
78,6,367.65027,34.29723
79,6,289.7253,33.53119
80,6,295.2528,34.18565
81,6,288.17248,32.75585
82,6,302.07276,33.47397
83,6,305.6674,33.21266
84,6,300.54641,34.82842
85,6,390.2266,38.21683
86,6,398.45586,39.71052
87,6,376.55735,34.56688
88,6,368.59632,31.99911
89,6,337.65125,34.6086
90,6,438.36045,32.75204
91,6,315.25254,34.51324
92,6,305.7518,33.04696
93,4,300.39191,31.20303
94,5,314.68701,32.75776
95,5,302.84381,32.39012
96,4,361.55462,30.97606
97,4,303.5183,30.4327
98,4,301.67174,32.93967
99,5,302.28114,32.75514
100,5,421.97061,32.6848
101,6,403.29742,34.43384
102,6,400.8925,33.07962
103,6,301.00155,32.65452
104,6,309.89623,33.01477
105,6,321.6176,33.08606
106,6,301.69272,33.40077
107,6,299.35956,32.83763
108,6,366.39047,33.24652
109,6,386.91425,32.69362
110,6,431.76746,33.08582
111,6,382.33161,31.76785
112,6,352.06842,32.09734
113,6,375.32139,32.32431
114,6,380.73611,31.62575
115,7,453.80855,34.51061
116,7,450.32716,33.21028
117,6,389.55283,31.94618
118,6,364.25281,31.57806
119,6,362.99729,33.29325
120,7,371.30976,32.7301
121,6,370.54229,33.06246
122,7,445.76383,33.80728
123,7,465.79957,35.2807
124,6,355.96514,32.60851
125,8,355.61943,38.2328
126,7,452.14272,32.69792
127,7,393.56089,33.95033
128,8,449.42641,35.24494
129,7,452.20518,35.85267
130,4,407.94444,31.82101
131,5,287.54163,31.63171
132,5,292.1617,31.69584
133,5,304.59332,31.9612
134,5,411.56507,32.29403
135,6,361.38368,32.55224
136,5,416.8191,31.73351
137,6,354.32005,35.08997
138,4,389.90855,30.07579
139,5,325.89817,33.36215
140,4,300.18759,33.2613
141,5,343.60719,32.84216
142,4,400.09475,31.4467
143,5,299.20125,30.68805
144,5,290.97247,33.00762
145,5,298.12932,32.32765
146,6,289.52026,32.73082
147,7,367.69032,33.99229
148,7,471.79341,35.03895
149,7,375.08607,33.31566
150,6,399.45388,33.69093
151,5,375.6578,32.16171
152,4,350.11005,31.76665
153,4,285.99715,31.42691
154,5,352.2048,32.54437
155,6,378.03102,33.11086
156,4,413.12504,30.3688
157,5,307.83892,33.20575
158,5,433.63476,34.27196
159,5,356.66943,31.13222
160,6,372.612,38.70583
161,6,413.8279,37.54711
162,4,393.35346,32.15885
163,5,422.25933,33.04195
164,6,351.28522,33.58769
165,5,357.49626,32.09972
166,4,353.14012,31.0533
167,5,294.49344,31.9798
168,5,357.25665,32.15337
169,4,404.75035,35.85577
170,4,352.22745,31.30579
171,3,371.22893,30.1013
172,3,302.2542,29.94394
173,4,308.14719,31.28719
174,4,358.06274,32.34982
175,4,304.7967,31.99387
176,5,297.74213,31.95
177,4,305.8219,31.50487
178,4,303.74908,31.23856
179,4,303.33161,30.6313
180,4,281.04043,31.06236
181,4,342.48543,30.69568
182,4,325.15049,34.70993
183,4,396.73352,31.72851
184,4,397.71199,31.92544
185,5,387.35676,31.3828
186,5,345.31808,31.37469
187,3,331.43234,34.11508
188,4,302.29306,30.71856
189,4,328.39298,31.40855
190,4,340.9059,31.55088
191,4,331.75969,31.60334
192,4,359.12132,30.46823
193,4,329.2563,31.21471
194,5,384.26256,32.06635
195,4,402.59194,34.3647
196,3,348.14262,30.48348
197,3,299.93105,30.13182
198,4,297.63126,31.59595
199,3,300.87519,30.80463
200,2,314.97788,32.39942
201,2,298.09022,28.53322
202,2,290.9534,29.94204
203,1,295.30931,28.64528
204,2,303.80225,29.38795
205,2,318.52436,29.70457
206,2,282.3875,34.02996
207,2,317.81244,28.04613
208,2,287.39738,30.03883
209,2,302.5682,31.33488
210,2,306.60224,29.62708
211,2,300.70877,29.45209
212,2,294.52944,28.63002
213,2,281.5733,29.56367
214,2,288.65957,30.97129
215,2,294.12556,28.1446
216,2,326.31493,30.37286
217,2,313.99369,29.3653
218,2,302.07658,33.94914
219,2,300.76718,29.3138
220,2,334.71203,29.56772
221,2,311.29766,29.11329
222,2,399.37258,31.52132
223,2,408.04887,32.4223
224,2,316.53762,29.42443
225,2,298.16246,29.45065
226,2,297.79887,29.69003
227,2,309.34572,29.61063
228,3,294.20304,31.17132
229,3,298.17319,30.21598
230,3,367.37585,30.38144
231,3,332.20696,30.88236
232,2,296.94533,28.93949
233,3,316.74123,31.46243
234,3,325.39105,30.72286
235,3,298.26522,31.08263
236,3,378.55554,30.84946
237,3,303.8168,30.14565
238,3,314.98837,30.30992
239,3,294.79647,30.25293
240,3,358.37317,30.44248
241,3,291.58187,30.03836
242,3,353.80101,30.16424
243,3,293.92338,30.68256
244,2,324.1868,29.65665
245,2,307.65915,28.08046
246,2,303.6685,29.13547
247,2,313.41863,33.16784
248,2,331.94566,28.99933
249,2,290.00878,32.03726
250,2,314.02016,29.84023
251,2,324.86582,29.14929
252,2,300.29869,28.83029
253,2,347.48888,29.43659
254,2,302.7339,29.20938
255,2,325.1996,29.97708
256,2,301.83339,29.5949
257,2,318.72511,28.88227
258,3,375.54216,32.27258
259,3,384.88555,31.37398
260,3,293.14208,30.53308
261,3,294.00659,31.21805
262,3,410.04586,33.67758
263,3,357.07521,30.03383
264,3,316.62583,31.05044
265,3,301.56279,30.85756
266,3,295.7468,32.71937
267,3,312.61206,30.04456
268,3,331.11548,29.81424
269,3,300.34113,34.14607
270,3,356.00066,33.29492
271,3,360.28004,33.33616
272,3,304.47388,30.04074
273,3,292.91153,31.23069
274,3,353.10435,33.90956
275,2,300.72403,28.71275
276,2,295.41731,28.8825
277,3,306.79941,30.74598
278,3,419.83628,31.33059
279,3,332.56388,30.42531
280,3,292.71865,29.88124
281,3,349.38097,29.93965
282,2,348.46854,28.99671
283,2,304.8861,29.27113
284,2,291.40782,32.88722
285,2,305.9454,29.23226
286,2,309.55243,29.62208
287,2,311.86032,30.12109
288,2,296.02122,34.15704
289,2,322.71481,32.59921
290,2,292.22417,29.91819
291,2,303.53451,28.96929
292,2,299.70908,29.0525
293,2,339.89835,29.94561
294,2,339.37216,29.78563
295,2,304.26431,29.50263
296,2,321.93208,29.64735
297,2,316.99371,29.01244
298,2,349.72954,29.68836
299,2,305.81522,30.13825
300,2,301.49484,29.567
301,3,309.41796,30.94625
302,3,366.31536,29.89197
303,2,348.77276,28.18632
304,2,302.12069,29.12021
305,2,310.04047,29.10781
306,2,298.81096,29.30427
307,2,400.75493,30.76673
308,2,316.48827,29.60181
309,2,306.59914,28.93281
310,2,331.19726,29.18601
311,5,312.95419,32.96041
312,5,384.87005,31.58545
313,5,394.28568,37.74524
314,5,449.24951,33.19168
315,5,438.94911,33.03576
316,5,378.82257,32.55606
317,5,470.3486,32.50575
318,5,431.91147,32.09329
319,4,408.69689,32.5973
320,4,359.98821,31.24237
321,3,374.99928,34.61123
322,3,314.59093,29.90913
323,2,292.06443,28.79214
324,3,376.12057,30.16925
325,3,301.35036,30.45774
326,3,303.05076,29.91486
327,3,304.89016,30.07007
328,4,300.82989,31.19421
329,3,367.00535,30.03788
330,5,323.946,32.46951
331,5,357.39493,32.0034
332,5,368.91699,31.60858
333,6,398.32926,36.67402
334,6,317.77072,33.37431
335,6,355.79062,32.55439
336,6,391.67309,34.01947
337,6,336.11202,32.46593
338,6,453.54009,32.7208
339,6,343.92142,33.11467
340,5,386.06381,36.08656
341,5,478.58071,32.62234
342,4,335.94751,32.73749
343,5,395.43319,33.56314
344,4,411.61728,30.6046
345,5,417.70267,31.64434
346,5,429.75879,31.4045
347,5,376.75643,32.06491
348,3,376.74928,30.17163
349,3,381.28018,30.36284
350,4,463.06705,32.04441
351,4,375.15855,35.28905
352,4,463.35244,31.5423
353,5,477.26154,32.75657
354,4,458.30321,35.79521
355,5,349.22147,31.60501
356,4,420.48216,31.15487
357,5,442.01016,36.0465
358,6,376.56569,32.17769
359,5,355.71241,33.17475
360,5,337.82458,31.54945
361,5,401.40224,32.12357
362,5,358.91128,31.33345
363,6,321.56229,32.33361
364,6,343.82176,31.58641
365,6,397.54677,37.27484
366,6,374.50886,37.49061
367,6,455.68705,32.70388
368,6,329.02503,32.64952
369,6,400.73705,32.2082
370,6,371.72651,32.88317
371,5,330.27124,31.70228
372,5,442.94024,35.16078
373,6,297.77598,32.40514
374,6,389.9343,33.52237
375,6,369.89665,32.18222
376,7,371.70219,37.95195
377,6,295.63165,32.78518
378,6,375.35334,36.58605
379,6,382.79629,32.65357
380,6,322.16001,36.57937
381,6,331.17294,36.43513
382,5,378.20458,36.26823
383,6,339.54811,32.36938
384,6,396.93713,32.54795
385,6,422.16325,32.35769
386,7,329.66447,33.88762
387,7,352.76604,34.48343
388,7,354.84552,32.68504
389,8,334.52725,33.9334
390,8,455.60122,33.97822
391,7,382.80535,32.17983
392,7,405.21216,39.88457
393,7,358.48475,32.44066
394,7,408.42652,39.14595
395,7,402.86732,33.30159
396,7,340.523,37.91285
397,7,349.21598,37.58955
398,7,342.76867,32.84168
399,7,367.76066,37.2889
400,6,343.27745,36.72171
401,6,331.98571,32.18102
402,7,361.20939,33.51688
403,7,394.15836,33.03194
404,7,469.76972,35.66384
405,9,394.3038,45.34197
406,8,457.8557,34.44123
407,8,362.90407,34.53326
408,7,412.58693,32.37796
409,6,417.53912,37.42099
410,7,380.1043,37.14943
411,6,409.42478,32.43899
412,7,323.00782,33.62656
413,5,311.35869,32.86982
414,7,378.12686,35.07352
415,7,479.96688,39.3033
416,6,382.58958,33.71119
417,5,330.24693,32.19247
418,5,343.72091,31.86035
419,6,414.58774,41.49246
420,4,383.33154,32.95016
421,4,385.2036,31.12674
422,5,375.1862,32.50265
423,5,362.40578,32.10616
424,3,399.41502,29.87337
425,5,366.71114,31.75354
