frame,num_objects,detector_latency_ms,reid_latency_ms
0,2,187.3064,45.49456
1,2,88.32145,32.31549
2,2,93.73069,30.72643
3,2,94.48099,30.51662
4,2,176.76878,30.71737
5,3,91.32147,32.32598
6,3,91.57205,32.01675
7,4,98.28806,32.68147
8,4,100.25024,35.25734
9,3,92.16881,31.99267
10,4,96.51351,33.02741
11,4,97.29242,34.3914
12,4,96.40503,33.28228
13,4,95.7756,32.29356
14,4,124.50767,33.58054
15,4,100.39115,32.45521
16,3,96.99225,31.62646
17,4,97.49222,32.57799
18,3,98.86885,31.73065
19,3,93.36758,31.72159
20,3,104.64382,31.63958
21,3,98.48666,31.71587
22,4,102.38028,32.69935
23,4,101.34602,32.61781
24,4,100.64578,32.64523
25,4,97.83435,33.46753
26,4,96.56096,32.27878
27,4,99.33209,32.89342
28,3,120.03636,31.6422
29,3,90.77716,31.94046
30,3,91.98046,31.59451
31,3,93.09816,32.05919
32,5,89.2117,34.3523
33,5,94.96236,34.16467
34,5,91.62045,35.82692
35,5,90.64746,33.43272
36,5,89.95628,33.75411
37,5,103.74618,34.57165
38,4,89.13565,33.42986
39,3,89.66684,32.01389
40,4,90.74903,34.36899
41,3,91.18152,31.84414
42,3,100.0483,32.11856
43,4,92.12184,32.85861
44,4,99.72858,33.37312
45,4,97.57161,33.59079
46,4,99.27106,33.34856
47,4,104.66814,33.19097
48,4,96.10891,33.43678
49,3,98.04177,32.69172
50,5,100.00563,35.19058
51,5,111.57322,34.49678
52,5,99.80583,34.50084
53,4,93.41049,32.91154
54,3,97.64481,32.05085
55,2,100.14558,30.72357
56,2,102.62012,31.04043
57,3,98.80543,32.17435
58,3,91.3105,32.14407
59,2,102.50545,30.78055
60,2,91.88914,30.75314
61,3,96.50421,32.02248
62,2,94.62166,31.02875
63,3,96.84348,31.99553
64,3,100.58856,32.25064
65,4,92.46492,33.25152
66,4,89.56742,33.38146
67,4,89.27774,33.15544
68,4,87.53872,32.90772
69,4,179.76952,33.16545
70,4,95.63303,33.19645
71,4,91.23421,35.81238
72,4,93.74928,33.86092
73,4,98.64664,35.45713
74,3,125.17142,38.13052
75,3,98.22512,33.04291
76,3,121.4478,33.0162
77,3,94.08808,32.78518
78,5,94.3327,34.5273
79,6,93.91904,35.86841
80,5,95.57271,37.56332
81,5,92.20409,34.04784
82,6,92.33022,36.39269
83,6,127.58517,39.95109
84,6,124.99166,38.25617
85,4,125.3674,37.95743
86,5,125.68665,35.29072
87,5,93.75501,35.2428
88,5,94.88869,35.0287
89,5,90.86919,35.33077
90,5,94.75708,34.62768
91,4,92.09895,33.81109
92,4,99.07365,33.60701
93,3,101.65143,32.46355
94,4,94.57469,33.6864
95,3,96.8194,36.60798
96,4,101.44401,33.84018
97,3,91.39466,32.6848
98,4,99.45941,33.38742
99,3,103.27816,32.03273
100,4,120.79716,34.43098
101,4,119.74001,34.1754
102,4,121.66095,33.95343
103,4,117.96999,33.98871
104,5,120.24999,35.58612
105,5,112.02002,33.89788
106,6,122.84136,39.62517
107,7,124.28212,38.44738
108,6,122.06316,36.39436
109,6,100.492,34.81531
110,5,95.47257,32.66692
111,6,91.56609,35.30812
112,5,94.3346,33.72955
113,6,123.36636,37.14561
114,4,96.39359,32.94444
115,5,90.50512,33.89645
116,5,111.43398,36.39269
117,5,95.14785,34.02519
118,4,92.38887,33.8552
119,5,93.71305,35.326
120,6,99.23816,36.19456
121,5,92.68498,34.13415
