frame,num_objects,detector_latency_ms,reid_latency_ms
0,3,427.5794,48.28978
1,3,243.48426,36.66043
2,4,225.75235,32.08184
3,4,175.68159,32.30047
4,4,238.68179,33.00357
5,5,194.45968,38.59282
6,5,240.81469,37.83393
7,5,241.62292,38.74564
8,5,241.59169,38.75446
9,5,239.46285,37.79602
10,5,219.49816,33.77295
11,6,182.14774,33.47516
12,6,179.46792,34.88684
13,6,179.14581,34.52349
14,5,180.92585,33.86164
15,5,210.52575,33.97655
16,4,216.8231,33.28753
17,4,172.39666,32.96494
18,4,173.82646,33.4239
19,3,177.84047,31.52823
20,4,167.50479,32.4192
21,5,180.45068,33.77676
22,4,187.44397,32.72057
23,5,169.56902,33.96702
24,4,169.83199,35.67243
25,4,172.189,33.17881
26,2,178.3483,30.6232
27,5,177.03557,34.29294
28,3,167.74368,32.28831
29,4,180.52411,32.77493
30,4,180.61972,33.03409
31,5,181.56528,33.86664
32,4,170.25661,36.50188
33,4,184.54289,32.40371
34,4,175.98987,31.97551
35,5,178.25222,36.12638
36,5,174.65019,36.02743
37,4,181.07104,32.16624
38,3,169.8339,31.46267
39,4,180.16577,32.50551
40,3,170.80069,31.56972
41,3,183.17509,31.63195
42,3,170.8982,31.49319
43,3,178.07794,30.89833
44,3,174.72553,30.53713
45,3,176.28407,31.42095
46,4,186.60355,32.25684
47,4,181.60415,32.43494
48,4,184.45253,32.43852
49,4,175.94862,32.8002
50,4,174.17645,32.67956
51,4,205.80935,32.81236
52,3,173.63644,32.42207
53,5,172.80769,34.49011
54,4,305.75204,34.2927
55,4,169.75546,32.72986
56,4,182.46746,32.66692
57,4,172.99962,33.38599
58,4,176.54109,32.71937
59,4,178.89214,33.25582
60,3,194.06438,31.97551
61,3,177.89841,32.1238
62,3,180.38535,32.1002
63,3,171.10872,32.44543
64,3,166.95023,32.13573
65,4,201.33352,33.28419
66,3,169.27624,31.68106
67,5,179.80003,33.74028
68,4,173.70486,32.6488
69,4,184.70931,32.8691
70,4,170.70293,33.13947
71,4,179.27289,33.25176
72,4,174.80588,33.06913
73,4,207.06534,33.04267
74,3,176.70417,32.15361
75,4,183.25377,33.52094
76,3,185.26149,32.33004
77,5,179.15297,34.62553
78,5,165.58385,34.65486
79,5,168.09988,34.69968
80,4,174.88933,33.08892
81,5,182.72138,33.91075
82,5,173.59471,34.28698
83,5,170.84718,33.84137
84,5,169.62647,34.44481
85,5,170.98141,34.67536
86,5,169.74831,34.73639
87,5,169.69752,33.86497
88,5,223.8698,34.59907
89,5,174.90506,34.97958
90,5,177.51598,34.66582
91,4,178.44486,34.2474
92,5,170.03274,35.1882
93,4,184.31306,34.44886
94,4,172.01138,33.76889
95,4,197.9661,34.0085
96,4,175.31872,34.01589
97,3,166.07857,32.34267
98,4,179.86631,33.91266
99,4,174.52884,33.12802
100,4,180.78351,33.71739
101,5,181.38051,34.79195
102,6,175.53329,35.25305
103,5,176.42951,35.08329
104,5,168.34927,34.91092
105,6,177.88911,35.73251
106,6,187.13856,36.19552
107,6,199.0397,34.82175
108,6,171.75341,35.46405
109,6,172.26696,35.3775
110,5,167.62567,35.18844
111,5,205.03235,34.163
112,5,233.24895,33.92816
113,5,168.32042,33.83946
114,6,177.79899,35.31599
115,6,245.27979,36.06248
116,6,244.18116,35.64477
117,6,231.20928,36.06415
118,5,248.45672,33.71978
119,5,183.5115,34.61885
120,6,178.94244,35.33292
121,6,243.4628,35.87556
