frame,num_objects,detector_latency_ms,reid_latency_ms
0,0,65.24849,0.00858
1,1,32.91059,44.09862
2,0,32.78947,0.0093
3,1,31.919,24.58858
4,2,26.38149,32.86791
5,2,25.38943,32.34029
6,3,28.32389,34.63459
7,3,87.62813,35.76875
8,3,27.46487,34.81412
9,3,29.47712,34.89947
10,3,28.4214,34.01303
11,3,28.20206,34.26814
12,3,27.55642,33.64515
13,3,28.31054,34.33132
14,2,27.52805,32.20773
15,2,27.84514,32.51243
16,2,27.7915,32.94253
17,1,28.32103,25.28954
18,2,26.0253,33.13279
19,2,27.64344,32.28569
20,2,29.67715,34.89161
21,3,27.74858,33.83112
22,3,28.46694,34.60741
23,3,28.17488,32.91082
24,3,26.02839,33.78129
25,2,28.72705,32.50146
26,2,26.19982,32.3832
27,1,28.34272,24.8313
28,1,26.1693,24.71495
29,1,25.90895,25.08068
30,1,28.09691,24.97697
31,2,26.34692,33.38814
32,1,26.33595,25.84839
33,1,28.2557,25.70343
34,2,25.80452,33.17118
35,1,28.23281,25.4333
36,1,27.03905,26.50833
37,1,26.70741,25.23232
38,3,25.83289,34.73306
39,3,27.32444,35.13479
40,2,26.14021,33.05078
41,2,27.56333,32.7785
42,2,26.01433,32.70292
43,2,29.19602,34.77097
44,1,27.88448,24.72091
45,2,25.7349,32.59397
46,3,26.32856,34.79815
47,3,30.56884,34.57832
48,3,29.43182,34.3461
49,3,28.37133,34.25384
50,3,26.17741,34.14845
51,3,26.53122,34.36565
52,3,29.27399,34.22832
53,2,27.26555,32.75299
54,2,26.76082,35.81095
55,2,27.23241,34.47175
56,1,26.90935,24.85681
57,1,29.07348,27.29034
58,1,25.46763,27.36425
59,1,27.47846,24.87946
60,2,26.29066,33.02073
61,2,26.36957,32.75943
62,2,32.51505,32.72939
63,2,29.16837,33.22792
64,2,27.03047,33.03099
65,2,28.24283,35.24232
66,2,26.37053,33.52261
67,2,29.26302,33.14281
68,2,27.49991,32.969
69,2,26.94821,33.09035
70,2,27.89211,33.34737
71,2,27.83179,32.59325
72,2,27.72355,35.54869
73,2,30.89118,33.58364
74,2,26.00217,32.7239
75,2,26.34859,33.05078
76,2,26.83115,33.33306
77,1,27.87542,25.61378
78,2,29.32239,34.5366
79,2,32.37653,34.8742
80,3,30.2124,35.85148
81,4,30.36022,37.4794
82,3,30.69687,36.12399
83,4,30.0107,36.39889
84,5,30.93624,38.4531
85,5,30.25723,41.30125
86,5,30.63869,38.09762
87,4,29.06799,36.05628
88,4,27.81057,35.82048
89,5,28.12815,36.78823
90,4,28.78666,36.07035
91,4,29.30164,35.9354
92,4,27.41361,35.71129
93,4,33.07247,36.02171
94,4,31.07405,36.15713
95,3,30.90072,35.41398
96,3,33.01764,37.7748
97,3,32.80735,37.56237
98,3,30.74384,35.03537
99,3,31.32987,35.01439
100,3,31.21352,34.9865
101,3,33.49233,35.41565
102,3,31.01301,34.83987
103,4,30.65872,36.0961
104,4,30.60579,38.35797
105,4,31.31866,37.75787
106,4,32.06372,36.15475
107,4,30.79772,36.37171
108,3,31.96645,35.74276
109,3,32.19366,37.323
110,3,30.6108,35.03275
111,5,30.78961,41.15677
112,3,33.55265,35.83264
113,4,31.21281,37.78195
114,4,98.55056,36.18646
115,4,30.95889,37.19497
116,2,30.82252,33.92863
117,3,31.01659,35.83741
118,3,31.30531,35.11071
119,3,27.7071,36.51786
120,3,26.18027,34.33323
121,3,30.08628,34.68728
122,2,30.36118,33.29086
123,3,27.62985,34.07955
124,4,28.75161,35.34269
125,3,27.35901,34.33681
126,3,26.74675,34.01089
127,4,27.43745,35.46572
128,5,26.793,36.45301
129,4,27.03357,35.74324
130,4,27.71449,36.18765
131,3,28.46217,34.10602
132,3,33.11563,38.89084
133,4,30.79224,39.65878
134,2,28.27764,32.70388
135,2,26.05128,32.73487
136,2,29.67215,32.73082
137,2,30.34782,34.49368
